date_published,id,type,country,country_code,name,status,admin_year,intersected_area_ha_cumulative,illegality_very_high_affected_area_ha,illegality_very_high_affected_area_pct,illegality_high_affected_area_ha,illegality_high_affected_area_pct,illegality_medium_affected_area_ha,illegality_medium_affected_area_pct,illegality_low_affected_area_ha,illegality_low_affected_area_pct,illegality_na_affected_area_ha,bbox_minx,bbox_miny,bbox_maxx,bbox_maxy
2026-09-22,BR6101_0,indigenous_territories,Brazil,BR,Baú,Regularizada,202503,332.33,0.0,0.0,332.33,1.0,0.0,0.0,0.0,0.0,0.0,-55.05774,-8.183391,-53.865167,-6.422385
2026-09-22,BR7601_0,indigenous_territories,Brazil,BR,Cachoeira Seca,Regularizada,202503,0.58,0.0,0.0,0.58,1.0,0.0,0.0,0.0,0.0,0.0,-54.826986,-4.774219,-53.259386,-3.908334
2026-09-22,BR11201_0,indigenous_territories,Brazil,BR,Enawenê-Nawê,Regularizada,202503,17.34,0.0,0.0,17.34,1.0,0.0,0.0,0.0,0.0,0.0,-59.938092,-12.683872,-58.449119,-11.68675
2026-09-22,BR23001_0,indigenous_territories,Brazil,BR,Kayapó,Regularizada,202503,20966.16,0.0,0.0,20952.77,0.999,10.44,0.0,2.95,0.0,0.0,-53.130418,-8.692894,-50.833476,-6.878509
2026-09-22,BR38902_0,indigenous_territories,Brazil,BR,Kuruáya,Regularizada,202503,161.33,0.0,0.0,0.0,0.0,0.0,0.0,161.33,1.0,0.0,-54.796755,-6.040487,-54.374455,-5.43292
2026-09-22,BR28701_0,indigenous_territories,Brazil,BR,Menkragnoti,Regularizada,202503,29.13,0.0,0.0,29.13,1.0,0.0,0.0,0.0,0.0,0.0,-54.685471,-9.843593,-52.003732,-7.167076
2026-09-22,BR29801_0,indigenous_territories,Brazil,BR,Munduruku,Regularizada,202503,9304.23,0.0,0.0,9292.64,0.999,11.6,0.001,0.0,0.0,-0.01,-58.474071,-8.670122,-56.666675,-6.130516
2026-09-22,BR33601_0,indigenous_territories,Brazil,BR,Parque do Aripuanã,Regularizada,202503,348.9,0.0,0.0,348.9,1.0,0.0,0.0,0.0,0.0,0.0,-60.537376,-12.600932,-59.216156,-10.720203
2026-09-22,BR34101_0,indigenous_territories,Brazil,BR,Paukalirajausu,Delimitada,202503,70.37,0.0,0.0,70.37,1.0,0.0,0.0,0.0,0.0,0.0,-59.697827,-14.853736,-59.591142,-14.676717
2026-09-22,BR37901_0,indigenous_territories,Brazil,BR,Raposa Serra do Sol,Regularizada,202503,14.97,0.0,0.0,14.97,1.0,0.0,0.0,0.0,0.0,0.0,-61.133555,3.373666,-59.51607,5.272125
2026-09-22,BR40201_0,indigenous_territories,Brazil,BR,Rio Paru DEste,Regularizada,202503,63.93,0.0,0.0,63.93,1.0,0.0,0.0,0.0,0.0,0.0,-55.221295,-0.039962,-53.818669,1.367973
2026-09-22,BR40701_0,indigenous_territories,Brazil,BR,Roosevelt,Regularizada,202503,211.99,0.0,0.0,211.99,1.0,0.0,0.0,0.0,0.0,0.0,-60.82072,-11.538965,-60.397538,-10.680812
2026-09-22,BR40901_0,indigenous_territories,Brazil,BR,Sai-Cinza,Regularizada,202503,492.73,0.0,0.0,492.73,1.0,0.0,0.0,0.0,0.0,0.0,-58.28333,-6.67402,-57.702665,-6.218114
2026-09-22,BR42101_0,indigenous_territories,Brazil,BR,Sararé,Regularizada,202503,3613.94,0.0,0.0,3610.8,0.999,3.14,0.001,0.0,0.0,0.0,-59.646074,-14.983408,-59.317028,-14.627932
2026-09-22,BR56701_0,indigenous_territories,Brazil,BR,Sawré Muybu (Pimental),Delimitada,202503,470.25,0.0,0.0,438.71,0.933,31.54,0.067,0.0,0.0,0.0,-56.833679,-5.242277,-56.337504,-4.684659
2026-09-22,BR42601_0,indigenous_territories,Brazil,BR,Serra Morena,Regularizada,202503,59.67,0.0,0.0,59.67,1.0,0.0,0.0,0.0,0.0,0.0,-59.549442,-11.275703,-59.215955,-10.739437
2026-09-22,BR43001_0,indigenous_territories,Brazil,BR,Sete de Setembro,Regularizada,202503,118.05,0.0,0.0,118.05,1.0,0.0,0.0,0.0,0.0,0.0,-61.431208,-11.249679,-60.922194,-10.737429
2026-09-22,BR44801_0,indigenous_territories,Brazil,BR,Tenharim Marmelos,Regularizada,202503,216.69,0.0,0.0,216.69,1.0,0.0,0.0,0.0,0.0,0.0,-62.164004,-8.882356,-61.589862,-7.811543
2026-09-22,BR44701_0,indigenous_territories,Brazil,BR,Tenharim do Igarapé Preto,Regularizada,202503,1295.41,0.0,0.0,1295.41,1.0,0.0,0.0,0.0,0.0,0.0,-61.403201,-8.666022,-61.028728,-8.290393
2026-09-22,BR46201_0,indigenous_territories,Brazil,BR,Trincheira Bacaja,Regularizada,202503,1042.84,0.0,0.0,1042.84,1.0,0.0,0.0,0.0,0.0,0.0,-52.011243,-5.463064,-50.998856,-3.771198
2026-09-22,BR46401_0,indigenous_territories,Brazil,BR,Trombetas/Mapuera,Regularizada,202503,0.54,0.0,0.0,0.54,1.0,0.0,0.0,0.0,0.0,0.0,-59.988823,-1.364606,-57.147917,0.938838
2026-09-22,BR46701_0,indigenous_territories,Brazil,BR,Tubarão Latunde,Regularizada,202503,11.94,0.0,0.0,11.94,1.0,0.0,0.0,0.0,0.0,0.0,-60.811841,-12.835833,-60.447921,-12.445125
2026-09-22,BR49801_0,indigenous_territories,Brazil,BR,Wawi,Regularizada,202503,128.28,0.0,0.0,128.28,1.0,0.0,0.0,0.0,0.0,0.0,-53.235043,-12.020465,-52.871669,-11.426801
2026-09-22,BR50901_0,indigenous_territories,Brazil,BR,Yanomami,Regularizada,202503,7535.26,0.0,0.0,7535.26,1.0,0.0,0.0,0.0,0.0,0.0,-66.476944,-0.323219,-61.332908,4.287222
2026-09-22,BR51101_0,indigenous_territories,Brazil,BR,Zoró,Regularizada,202503,57.73,0.0,0.0,57.73,1.0,0.0,0.0,0.0,0.0,0.0,-61.15056,-10.960536,-60.511987,-10.208622
2026-09-22,BR12101_0,indigenous_territories,Brazil,BR,Évare I,Regularizada,202503,4.67,0.0,0.0,4.67,1.0,0.0,0.0,0.0,0.0,0.0,-69.907914,-4.32345,-69.139789,-3.226843
2026-09-22,CO10394_0,indigenous_territories,Colombia,CO,"Resguardo Indígena Curripaco de Tonina, Sejal, San Jose y Otras",RESOLUCION,202503,9.84,0.0,0.0,9.84,1.0,0.0,0.0,0.0,0.0,0.0,-68.869873,1.861807,-67.564226,2.98238
2026-09-22,CO10391_0,indigenous_territories,Colombia,CO,Resguardo Indígena Rio Cuiari e Isana,RESOLUCION,202503,44.68,44.68,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-70.180465,1.6928,-68.162888,2.44985
2026-09-22,CO10379_0,indigenous_territories,Colombia,CO,Resguardo Indígena de la Cuenca Media Y Alta del Rio Inirida,RESOLUCION,202503,43.81,11.54,0.263,21.76,0.497,0.0,0.0,10.5,0.24,0.01,-70.942492,2.2087,-67.861408,3.691935
2026-09-22,EC30558_0,indigenous_territories,Ecuador,EC,Amarum Mesa,Sin reconocimiento,202503,134.39,0.0,0.0,134.39,1.0,0.0,0.0,0.0,0.0,0.0,-77.251847,-0.460186,-77.126819,-0.321531
